	Ticker	Adj Close	100d	200d	21d	50d	9d	MACD	RSI	Volume	OptionType	ActivityType	lower_band	upper_band	5DayFuturePrice	10DayFuturePrice	20DayFuturePrice	30DayFuturePrice	5DayFuturePriceCat	10DayFuturePriceCat	20DayFuturePriceCat	30DayFuturePriceCat	lower_band_pctdelt	upper_band_pctdelt	100d_pctdelt	200d_pctdelt	50d_pctdelt	21d_pctdelt	9d_pctdelt
173	GGP	30.065155999999998	27.48		28.32	27.38	29.37	0.7921833669538678	77.7334464645952	4168000	Calls	BUYING	26.3694797418643	30.429078358135715	30.250202	30.970909000000002	30.172288	28.467914	1	1	1	0	0.1401497600374886	-0.011959690459649315	0.09407409024745261		0.09806997808619428	0.061622740112994276	0.023668913857677807
174	GGP	30.065155999999998	27.48		28.32	27.38	29.37	0.7921833669538678	77.7334464645952	4168000	Calls	BUYING	26.3694797418643	30.429078358135715	30.28916	31.13647700000001	30.133332	28.438698	1	1	1	0	0.1401497600374886	-0.011959690459649315	0.09407409024745261		0.09806997808619428	0.061622740112994276	0.023668913857677807
178	GGP	30.250202	27.67		28.94	27.55	29.94	0.8314335456273945	76.20849424656456	1999900	Calls	SELLING	27.00565282670961	31.02944447329041	30.970909000000002	31.029346000000004	29.217839	28.662701000000002	1	1	0	0	0.12014333421636116	-0.02511300110323172	0.09324907842428622		0.09801096188747735	0.045273047684865245	0.010360788243152983
180	GGP	30.483945000000002	27.75		29.22	27.62	30.21	0.8166422921910836	78.1586060951232	2838000	Puts	BUYING	27.34442704628111	31.231191053718902	30.561859000000002	30.269681	29.013315000000002	28.380260999999997	1	0	0	0	0.11481381374000571	-0.023926274615451163	0.09852054054054062		0.10369098479362784	0.04325616016427116	0.009068023833167866
182	GGP	30.844299	27.82		29.5	27.74	30.37	0.8273903135531491	80.8843642615996	3108900	Puts	BUYING	27.67113313475911	31.466759765240887	31.116999999999997	30.250202	28.39974	28.526351000000002	1	0	0	0	0.11467422926945177	-0.01978153358924729	0.10870952552120773		0.11190695746214857	0.04556945762711863	0.01561735265064203
201	GGP	28.954878000000004	28.26	27.09	30.12	29.24	29.36	-0.16455329184026013	39.339962112916496	2296200	Puts	BUYING	28.465838312185298	31.712197187814713	28.614003000000004	28.243910999999997	27.299202	26.851194	0	0	0	0	0.017179880053114913	-0.08694822283945049	0.024588747346072283	0.06884008859357713	-0.009751094391244669	-0.03868266932270905	-0.013798433242506646
211	GGP	28.243910999999997	28.3	27.22	29.0	29.49	28.44	-0.3702773803357182	36.815333308019426	3306500	Puts	BUYING	27.60806758116129	30.27928941883871	27.377115999999997	27.299202	26.851194	25.520654	0	0	0	0	0.02303107296334579	-0.06722015139405396	-0.001981943462897654	0.03761612784717114	-0.04225462868769079	-0.02607203448275872	-0.006894831223628838
212	GGP	28.526351000000002	28.3	27.24	28.92	29.5	28.45	-0.3503635399707932	42.46203913739512	2219200	Puts	BUYING	27.661713222635232	30.05325867736477	27.766687	27.425812	26.880412	25.68752000000001	0	0	0	0	0.03125756421540976	-0.050806725944657384	0.007998268551236786	0.04722287077826738	-0.033005050847457564	-0.013611652835408019	0.0026836906854130933
217	GGP	27.766687	28.3	27.33	28.52	29.49	28.29	-0.38411462041123207	36.837538217242546	5212800	Puts	SELLING	27.67942146964805	29.301208730351963	27.425812	28.010169	25.292908999999998	25.520654	0	1	0	0	0.0031527223373378904	-0.052370594826772844	-0.018844982332155466	0.01597830223197961	-0.058437199050525516	-0.026413499298737677	-0.01849816189466236
218	GGP	27.766687	28.3	27.33	28.52	29.49	28.29	-0.38411462041123207	36.837538217242546	5212800	Puts	BUYING	27.67942146964805	29.301208730351963	27.601119	27.912776	25.458477	25.599179	0	1	0	0	0.0031527223373378904	-0.052370594826772844	-0.018844982332155466	0.01597830223197961	-0.058437199050525516	-0.026413499298737677	-0.01849816189466236
232	GGP	26.880412	28.22	27.51	27.69	28.79	27.52	-0.38337777222875496	34.91580900446738	5893000	Puts	SELLING	26.490078047211146	28.831953052788872	25.292908999999998	25.68752000000001	24.146466	24.843375	0	0	0	0	0.014735100141766027	-0.0676867449532734	-0.04746945428773916	-0.02288578698655041	-0.06632816950329974	-0.029237558685446065	-0.023240843023255808
235	GGP	25.419521	28.19	27.52	27.32	28.48	26.92	-0.6194000808000233	23.6421253076617	4347700	Puts	SELLING	25.768211369650466	28.72987663034955	25.57954800000001	25.824939	23.802918	25.226186	1	1	0	0	-0.013531803377752097	-0.11522345441792017	-0.0982787868038312	-0.07632554505813953	-0.10746063904494385	-0.06956365300146415	-0.05573844725111449
240	GGP	25.57954800000001	28.16	27.51	26.73	27.94	25.69	-0.78010118499488	33.63281507509821	4281900	Puts	BUYING	24.62137141563445	28.812632984365568	25.824939	24.990609	24.372225	24.941532000000002	1	0	0	0	0.03891645872159351	-0.11221067460651403	-0.09163536931818148	-0.07017273718647735	-0.08448289191123806	-0.04303973063973029	-0.004299416115219601
243	GGP	25.716967999999998	28.15	27.5	26.5	27.66	25.46	-0.6816803789748711	36.652856753920375	2479900	Puts	SELLING	24.33084847398045	28.56305682601957	25.599179	24.490013	25.756229	25.186923	0	0	1	0	0.05696963373479856	-0.09964230521107674	-0.08643097690941388	-0.06483752727272735	-0.07024699927693429	-0.029548377358490648	0.01009300864100538
246	GGP	25.638443	28.15	27.49	26.24	27.4	25.58	-0.565758290446329	36.45515167321658	2170100	Puts	BUYING	24.289345249205322	28.026699250794692	24.175911	23.989416000000002	24.980795	24.990609	0	0	0	0	0.05554277964074866	-0.08521361111501473	-0.0892204973357016	-0.06735383775918515	-0.06429040145985401	-0.022925190548780477	0.0022847146207975164
247	GGP	25.520654	28.14	27.49	26.13	27.34	25.59	-0.5467074561818173	35.01152490955606	2576200	Puts	BUYING	24.36320542616404	27.703887573835978	24.146466	24.224991	24.725588000000002	25.118213	0	0	0	0	0.04750805789261859	-0.07880603644586907	-0.09308265813788202	-0.07163863222990172	-0.06654520848573517	-0.023319785686949812	-0.0027098866744821987
249	GGP	25.569732000000002	28.13	27.49	25.9	27.19	25.65	-0.4942353423185963	36.401704665132385	2388400	Calls	BUYING	24.616384633121452	27.020105766878572	24.244622	24.755034	24.823745000000002	25.608995	0	0	0	1	0.038728163419896225	-0.05367757548367735	-0.09101557056523275	-0.06985332848308463	-0.059590584773813876	-0.012751660231660104	-0.0031293567251460693
250	GGP	24.990609	28.13	27.49	25.78	27.11	25.59	-0.5151733513247905	29.502766161930733	5691600	Puts	SELLING	24.708535272963232	26.68346092703678	23.802918	24.372225	24.941532000000002	25.84457	0	0	0	1	0.011416044047961846	-0.06344199246363554	-0.11160295058656239	-0.09092000727537285	-0.07817746219107341	-0.0306202870442204	-0.023422860492379863
259	GGP	24.755034	27.9	27.44	25.0	26.34	24.28	-0.5834740845865944	42.49060706040277	2712600	Puts	BUYING	23.573311264823623	26.420669035176395	25.716967999999998	24.823745000000002	25.608995	25.119999	1	1	1	1	0.05012968784490435	-0.06304287877641462	-0.11272279569892474	-0.09784861516034996	-0.06017334851936224	-0.009798640000000063	0.0195648270181218
