,Ticker,Strike,OptionType,ActivityType,InitialVolume,IS_Flag,TweetTimeStamp,TradeDate,TradeTime,ExpDate,startOpen,startLow,startHigh,startClose,startDayDelt,EarningsDate,EarningsTime
0,GGP,29,Calls,BUYING,1300,,2016-07-12 14:59:17,2016-07-12,14:59:17,2016-07-15,31.09,30.48,31.18,31.06,-0.000964940495336157,2016-08-01,after
1,SPY,218,Calls,SELLING,2503,,2016-07-12 14:58:51,2016-07-12,14:58:51,2016-08-05,214.53,213.43,215.3,214.95,0.00195776814431542,,
2,JNPR,22,Calls,BUYING,493,,2016-07-12 14:39:41,2016-07-12,14:39:41,2016-07-15,23.05,22.97,23.29,23.1,0.00216919739696315,2016-07-26,after
3,RLGY,30,Calls,BUYING,500,,2016-07-12 14:38:01,2016-07-12,14:38:01,2016-08-19,29.34,29.33,29.94,29.71,0.012610770279482,2016-08-04,before
4,GLD,127,Calls,BUYING,10000,,2016-07-12 14:29:40,2016-07-12,14:29:40,2016-07-15,128.52,126.99,128.54,127.15,-0.0106598194833489,,
5,PCAR,55,Calls,BUYING,1616,,2016-07-12 14:29:38,2016-07-12,14:29:38,2016-08-19,53.56,53.07,54.26,54.14,0.0108289768483943,2016-07-26,before
6,TEVA,60,Calls,SELLING,3965,,2016-07-12 14:28:04,2016-07-12,14:28:04,2016-09-16,51.25,50.83,52.92,52.46,0.023609756097561,2016-08-04,after
7,CMI,120,Calls,BUYING,990,,2016-07-12 14:26:20,2016-07-12,14:26:20,2016-07-29,116.73,116.27,119.18,118.98,0.0192752505782575,2016-08-02,before
8,HUM,170,Calls,BUYING,1570,,2016-07-12 14:09:50,2016-07-12,14:09:50,2017-01-20,155.35,151.3,155.52,154.71,-0.00411972964274211,2016-08-03,before
9,PRU,67.5,Calls,BUYING,812,@ IS,2016-07-12 14:00:36,2016-07-12,14:00:36,2016-07-15,73,72.88,73.91,73.49,0.00671232876712322,2016-08-03,after
10,SPY,218,Calls,BUYING,9010,@ IS,2016-07-12 13:54:39,2016-07-12,13:54:39,2016-08-05,214.53,213.43,215.3,214.95,0.00195776814431542,,
11,GGP,33,Calls,BUYING,1111,,2016-07-12 13:53:42,2016-07-12,13:53:42,2016-10-21,31.09,30.48,31.18,31.06,-0.000964940495336157,2016-08-01,after
12,APC,60,Calls,SELLING,2100,,2016-07-12 13:26:31,2016-07-12,13:26:31,2016-08-05,56.88,56.8,58.04,57.42,0.00949367088607593,2016-07-26,after
13,COF,70,Calls,BUYING,1500,,2016-07-12 13:23:20,2016-07-12,13:23:20,2016-09-16,67.03,66.99,68.11,67.85,0.0122333283604355,2016-07-21,after
14,PAH,10,Calls,BUYING,562,,2016-07-12 13:07:23,2016-07-12,13:07:23,2016-08-19,8.81,8.79,9.2,8.93,0.0136208853575482,2016-08-11,Theu
15,ALLY,18,Calls,BUYING,3000,,2016-07-12 12:59:23,2016-07-12,12:59:23,2016-09-16,16.95,16.95,17.22,17.17,0.0129793510324485,2016-07-26,before
